                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.67486,                 0.3738,                0.89357,                0.99108,                 0.9913,                 0.9929,                0.86416,                0.60192,                0.31342,                0.86087,             0.00020477,             0.00020477,             0.00020477
                     37,                0.66735,                 0.3655,                0.89206,                 0.9943,                0.99346,                0.99297,                0.86594,                0.59966,                0.30852,                0.85623,             0.00019156,             0.00019156,             0.00019156
                     38,                0.66063,                 0.3636,                0.89203,                0.99201,                0.99183,                  0.993,                0.87216,                 0.5963,                0.30293,                0.85429,             0.00017836,             0.00017836,             0.00017836
                     39,                0.65392,                 0.3605,                0.88699,                0.99318,                0.99267,                0.99246,                0.86996,                0.59545,                0.30197,                0.85892,             0.00016515,             0.00016515,             0.00016515
                     40,                0.64329,                0.35311,                0.88559,                0.99093,                0.99351,                0.99292,                0.87396,                0.58189,                0.29713,                0.85345,             0.00015194,             0.00015194,             0.00015194
                     41,                0.60214,                0.32029,                0.85862,                0.98697,                 0.9947,                0.99313,                0.86863,                0.59768,                0.30432,                0.85601,             0.00013874,             0.00013874,             0.00013874
                     42,                0.59125,                0.31386,                0.85343,                0.99219,                0.99185,                0.99244,                0.86895,                0.58938,                0.30243,                0.85665,             0.00012553,             0.00012553,             0.00012553
                     43,                0.57971,                0.30833,                0.85471,                0.99306,                0.99352,                0.99329,                0.87323,                0.57954,                0.29668,                0.85319,             0.00011232,             0.00011232,             0.00011232
                     44,                0.56087,                0.30228,                0.84709,                0.99304,                0.99238,                0.99247,                0.87424,                0.57786,                0.29706,                0.85181,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     45,                0.55893,                0.29897,                 0.8479,                0.99246,                0.99307,                0.99314,                0.87617,                0.57118,                0.29183,                 0.8475,              8.591e-05,              8.591e-05,              8.591e-05
                     46,                 0.5533,                 0.2945,                0.84596,                0.99359,                0.99372,                0.99295,                0.88224,                0.56296,                0.28944,                0.84506,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     47,                 0.5384,                0.28973,                0.84039,                0.99197,                0.99408,                0.99248,                0.88007,                0.55926,                0.28266,                0.84397,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     48,                 0.5355,                0.28669,                0.84137,                0.99346,                0.99198,                 0.9925,                0.88613,                0.55714,                0.28284,                0.84182,              4.629e-05,              4.629e-05,              4.629e-05
                     49,                0.52519,                0.28103,                0.83591,                0.99333,                0.99183,                0.99252,                0.88501,                0.55388,                0.27834,                0.84337,             3.3083e-05,             3.3083e-05,             3.3083e-05
                     50,                0.51624,                0.27716,                0.83349,                0.99429,                 0.9918,                0.99249,                0.88906,                0.55081,                0.27676,                0.84373,             1.9877e-05,             1.9877e-05,             1.9877e-05
